location_type, parent_station, stop_id, stop_code, stop_name, stop_desc, stop_lat, stop_lon, zone_id, supported_modes
0,,17995,17995,Marmion Av After Ocean Keys Bvd,,-31.68796009,115.7143057,4,Bus
0,,17996,17996,Marmion Av After Rochester Dr,,-31.68276216,115.7144411,4,Bus
0,,17997,17997,Marmion Av Before Anchorage Dr,,-31.67780658,115.7124034,4,Bus
0,,17998,17998,Marmion Av After Anchorage Dr,Marmion Av / Anchorage Dr,-31.67417847,115.710585,4,Bus
0,,17999,17999,Marmion Av After Quinns Rd,,-31.67008993,115.7085197,4,Bus
0,,18000,18000,Marmion Av Before Santa Barbara Pde,,-31.6660592,115.7065219,4,Bus
0,,18003,18003,Marmion Av After Hughie Edwards Dr,,-31.65846038,115.7049994,5,Bus
0,,18004,18004,Yanchep Beach Rd After Welwyn Av,,-31.54714524,115.6420694,6,Bus
0,,18005,18005,Yanchep Beach Rd Before Welwyn Av,,-31.54705881,115.641346,6,Bus
0,,18006,18006,Golf Links Dr After Balladong Loop,,-31.70798453,115.7773159,4,Bus
0,,18007,18007,Golf Links Dr After Inverell Grn,Golf Links Dr / Houghton Dr,-31.70708978,115.7805633,4,Bus
0,,18008,18008,Golf Links Dr After Houghton Dr,Golf Links Dr / Houghton Dr,-31.7070811,115.7799481,4,Bus
0,,18009,18009,Golf Links Dr Before Balladong Loop,,-31.70800444,115.7774122,4,Bus
0,,18012,18012,Houghton Dr After Balladong Loop,,-31.71129112,115.782715,4,Bus
0,,18013,18013,Houghton Dr After Glenfine Wy,,-31.70866768,115.7811302,4,Bus
0,,18014,18014,Houghton Dr After Staunton Vale,,-31.70887971,115.7812012,4,Bus
0,,18015,18015,Houghton Dr Before Minjah Cct,,-31.7113068,115.783021,4,Bus
0,,18016,18016,Selkirk Dr After Stonehaven Pde,,-31.71838397,115.7423497,4,Bus
0,,18017,18017,Selkirk Dr Before Stonehaven Pde,,-31.71811856,115.7428441,4,Bus
0,,18018,18018,Macnaughton Cr After Balliol Elbow,,-31.71655441,115.7429435,4,Bus
0,,18019,18019,Macnaughton Cr After Macalpine Rtt,,-31.71285072,115.7415578,4,Bus
0,,18020,18020,Macnaughton Cr After Annandale Cir,,-31.71246964,115.7390476,4,Bus
0,,18021,18021,Macnaughton Cr After Connolly Dr,,-31.71201326,115.7383595,4,Bus
0,,18022,18022,Macnaughton Cr After Grangemouth Turn,,-31.71273262,115.7413694,4,Bus
0,,18023,18023,Macnaughton Cr After Selkirk Dr,,-31.7138667,115.7435934,4,Bus
0,,18024,18024,Kinross Dr After Connolly Dr,,-31.72208891,115.7395966,4,Bus
0,,18025,18025,Kinross Dr After Glencoe Loop,,-31.72215528,115.7373505,4,Bus
0,,18026,18026,Kinross Dr Before Edinburgh Av,,-31.72038988,115.7359706,4,Bus
0,,18027,18027,Kinross Dr After Falkland Wy,Kinross College,-31.71746523,115.7343468,4,Bus;School Bus
0,,18028,18028,Kinross Dr After Roxburgh Cir,,-31.71477898,115.732558,4,Bus
0,,18030,18030,Kinross Dr Before Marmion Av,,-31.71530626,115.7266185,4,Bus
0,,18031,18031,Kinross Dr After Marmion Av,Marmion Av / Kinross Dr,-31.71514444,115.7267588,4,Bus
0,,18032,18032,Kinross Dr After Golspie Pl,Kinross Dr / Golspie Pl,-31.71330056,115.7308444,4,Bus
0,,18033,18033,Kinross Dr After Rutherglen Cir,,-31.71459611,115.7326425,4,Bus
0,,18034,18034,Kinross Dr After Bonnyrigg Pass,,-31.71642769,115.7336064,4,Bus
0,,18035,18035,Kinross Dr After Geoff Russell Av,,-31.71761063,115.7346403,4,Bus;School Bus
0,,18036,18036,Kinross Dr After Edinburgh Av,,-31.72046941,115.7361052,4,Bus
0,,18037,18037,Kinross Dr After Glencoe Loop,,-31.72217159,115.7376906,4,Bus
0,,18038,18038,Kinross Dr Before Callander Av,,-31.72187799,115.739857,4,Bus
0,,18039,18039,Marmion Av After Lukin Dr,,-31.65806417,115.705225,5,Bus
0,,18042,18042,Marmion Av After Santa Barbara Pde,,-31.66629152,115.7070533,4,Bus
0,,18043,18043,Marmion Av After Greyhound Dr,,-31.67031466,115.7090744,4,Bus
0,,18044,18044,Marmion Av Before Hester Av,Marmion Av / Anchorage Dr,-31.67408317,115.710967,4,Bus
0,,18045,18045,Marmion Av After Hester Av,,-31.67911568,115.7134867,4,Bus
0,,18046,18046,Marmion Av After Renshaw Bvd,,-31.68224197,115.7147477,4,Bus
0,,18047,18047,Marmion Av After Belleville Gdns,,-31.68739531,115.7147102,4,Bus
0,,18048,18048,Marmion Av Before Neerabup Rd,,-31.69295422,115.7161553,4,Bus
0,,18049,18049,Marmion Av Tamala Park Disposal Site,,-31.70828986,115.7226375,4,Bus
0,,18051,18051,Marmion Av After Edinburgh Av,,-31.7222072,115.7323995,4,Bus;School Bus
0,,18052,18052,Marmion Av Before Burns Beach Rd,Marmion Av / Burns Beach Rd,-31.72535152,115.7346541,4,Bus;School Bus
0,,18053,18053,Marmion Av After Burns Beach Rd,,-31.72885932,115.7364861,4,Bus;School Bus
0,,18054,18054,Marmion Av After Caledonia Av,,-31.73159929,115.7373853,4,Bus;School Bus
0,,18055,18055,Marmion Av After Shenton Av,,-31.74483636,115.7386017,4,Bus;School Bus
0,,18056,18056,Marmion Av Before Diablo Wy,,-31.74838991,115.7398213,3,Bus;School Bus
0,,18057,18057,Marmion Av Before Prendiville Av,,-31.75213068,115.7413555,3,Bus;School Bus
0,,18058,18058,Marmion Av After Prince Regent Dr,,-31.75887132,115.7446909,3,Bus
