SSC_CODE_2016,Suburb,Suburb (Original),Postcode,Suburb sqkm,Median Age (Persons),Median Mortgage Repayments (Monthly),Median Total Personal Income (Weekly),Median Rent (Weekly),Median Total Family Income (Weekly),Average Number of Persons per Bedroom,Median Total Household Income (Weekly),Average Household Size,People (0-14 year),People (15-24 year),People (25-34 year),People (35-44 year),People (45-54 year),People (55-64 year),People (65-74 year),People (75-84 year),People (85 and over year),Total Number of People,Unemployment Rate (%)
SSC50147,Boorabbin,Boorabbin,6429,2272.0462,69,0,362,0,0,0,0,0,0,0,0,0,3,7,10,4,0,24,0
SSC50148,Booragoon,Booragoon,6154,3.0602,42,2383,719,415,2301,0.7,1707,2.6,982,720,492,704,760,600,491,381,283,5413,7.5
SSC50149,Booralaming,Booralaming,6475,304.8247,60,0,899,0,2124,0.4,1624,1.4,0,0,3,0,0,4,0,4,0,11,0
SSC50150,Boorara,Boorara,6431,35.2891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50151,Boorara Brook,Boorara Brook,6262,280.2573,57,704,427,130,974,0.6,749,2,20,4,8,14,12,34,32,8,0,132,7.1
SSC50152,Bootenal,Bootenal,6532,25.6304,33,2773,374,0,1249,0.6,1292,2.2,7,6,4,3,6,7,8,3,0,44,0
SSC50153,Boothendarra,Boothendarra,6521,629.0215,55,750,899,0,1416,0.5,1333,1.7,0,5,3,0,3,4,10,0,0,25,0
SSC50154,Boranup,Boranup,6286,105.2692,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0
SSC50155,Borden,Borden,6338,0.7873,43,926,575,175,1624,0.9,1124,2.1,13,3,3,15,7,11,3,3,0,58,0
SSC50156,Borderdale,Borderdale,6320,146.17,58,0,675,0,1437,0.5,1437,2,10,0,0,3,3,6,10,3,0,35,0
SSC50157,Bornholm,Bornholm,6330,34.1706,49,3629,494,258,1218,0.7,1125,2.3,8,10,3,8,15,17,19,4,4,88,12
SSC50158,Boscabel,Boscabel,6394,201.4399,41,488,820,0,2125,0.5,1437,2.5,13,6,10,6,10,14,4,0,0,63,0
SSC50159,Boulder,Boulder,6432,4.3992,33,1517,833,273,2063,0.8,1753,2.6,1095,621,786,662,694,557,343,84,21,4863,7.6
SSC50160,Boundain,Boundain,6312,214.9473,44,800,675,195,1218,0.7,1218,2.2,11,11,5,11,6,11,3,0,0,58,0
SSC50161,Bouvard,Bouvard,6211,33.0872,53,1767,498,260,1166,0.7,916,2.2,115,71,40,80,110,168,147,55,10,796,12.1
SSC50162,Bovell,Bovell,6280,13.335,43,2000,748,450,2166,0.8,2116,3.1,111,50,16,59,73,58,38,12,3,420,6
SSC50163,Bow Bridge,Bow Bridge,6333,112.7236,46,2167,532,200,1416,0.6,687,2.1,20,0,7,10,13,12,13,3,0,78,0
SSC50164,Bowelling,Bowelling,6225,700.1154,47,1630,530,0,1375,0.7,1208,2.5,13,3,8,11,14,17,9,0,0,75,9.1
SSC50165,Bowes,Bowes,6535,222.526,46,1608,575,133,1687,0.7,1354,2.4,21,12,3,16,8,30,26,0,0,116,0
SSC50166,Bowgada,Bowgada,6623,769.7578,48,0,1093,0,2750,0.4,2124,1.4,10,3,3,3,14,6,3,0,0,42,0
SSC50167,Boxwood Hill,Boxwood Hill,6338,629.9525,36,0,924,0,1792,0.9,1406,2.8,31,4,4,13,15,6,0,0,0,73,0
SSC50168,Boya,Boya,6056,1.8568,43,2069,824,390,2181,0.7,1919,2.6,111,70,62,97,89,78,83,35,12,637,4
SSC50169,Boyanup,Boyanup,6237,70.5961,44,1755,694,268,1674,0.7,1535,2.6,245,100,110,147,177,190,121,49,18,1157,4.5
SSC50170,Boyatup,Boyatup,6450,791.0527,26,0,1312,0,0,0.8,1375,3.5,9,3,3,3,3,0,0,0,0,21,0
SSC50171,Boyerine,Boyerine,6316,191.0985,35,0,1031,0,1375,0.6,1375,2,13,3,6,6,13,0,3,0,0,44,0
SSC50172,Boyup Brook,Boyup Brook,6244,211.9605,51,1192,513,160,1231,0.7,933,2.2,166,54,60,102,124,147,122,72,33,880,8.1
SSC50173,Brabham,Brabham,NOT FOUND,5.8441,28,2200,947,400,2023,0.7,1957,2.8,753,449,1080,493,287,129,43,10,0,3244,6.2
SSC50174,Bramley,Bramley,6285,50.7245,45,2514,528,150,1062,0.7,1104,2.2,18,13,14,7,16,15,9,0,0,92,0
SSC50175,Brazier,Brazier,6251,79.1752,51,1500,575,0,1374,0.6,1166,2.3,12,3,3,6,11,13,6,0,0,54,0
SSC50176,Breera,Breera,6503,54.9831,38,0,450,250,1625,1,1562,2,5,11,3,0,4,3,3,0,0,29,37.5
